strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Brazil/BA-LACEN-BA318/2021	EPI_ISL_3255147		Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil	Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil	Stephane Tosta et al
hCoV-19/RepublicoftheCongo/RC-002/2021	EPI_ISL_2978187		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Andorra/AND-235_2118213844_GC/2021	EPI_ISL_3384895		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Andorra/AND-233_2118213842_GC/2021	EPI_ISL_3384885		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Andorra/AND-234_2118213839_GC/2021	EPI_ISL_3384887		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Taiwan/CGMH-CGU-71/2021	EPI_ISL_2544707		Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Shin-Ru Shih et al
hCoV-19/Ukraine/HZ4-60454/2021	EPI_ISL_2934573		SECP MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
hCoV-19/Lithuania/LTU000_MB_MB28582/2021	EPI_ISL_2082339		Nacionaline visuomenes sveikatos prieziuros laboratorija	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/LTU000_KNS_ANT_05_03_64/2021	EPI_ISL_2334253		UAB Diagnostikos laboratorija	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/S21E656/2021	EPI_ISL_2428614		Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Daniel Naumovas et al
hCoV-19/Lithuania/LTU000_INMEDICA_468489/2021	EPI_ISL_2694372		UAB InMedica	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/LTU000_INMEDICA_415569/2021	EPI_ISL_2428445		UAB InMedica	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/IBT-LSC-VU_r13_21/2021	EPI_ISL_2625899		UAB Diagnostikos laboratorija	Institute of Biotechnology, Life Sciences Center, Vilnius University	Emilija Vasiliunaite__ Milda Norkiene__ Danguole Ziogiene__ Albertas Timinskas__ Alma Gedvilaite et al
hCoV-19/Japan/PG-70874/2021	EPI_ISL_3190493		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Japan/PG-47366/2021	EPI_ISL_2357695		Fukuoka Institute of Health and Environmental Sciences	Fukuoka Institute of Health and Environmental Sciences	Asako Nakamura et al
hCoV-19/NewZealand/21CH0023/2021	EPI_ISL_1967894		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/NewZealand/21MV0406/2021	EPI_ISL_1967899		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/NewZealand/21CH0025/2021	EPI_ISL_2406486		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/Japan/PG-37162/2021	EPI_ISL_2358758		Department of Infectious Diseases, Kobe Institute of Health	Department of Infectious Diseases, Kobe Institute of Health	Ryohei Nomoto et al
hCoV-19/Japan/PG-71819/2021	EPI_ISL_3190835		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Japan/PG-71011/2021	EPI_ISL_3190601		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Ecuador/USFQ-1030-UTPL004/2021	EPI_ISL_1805658		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Ecuador/USFQ-1932/2021	EPI_ISL_3505593		Center for Research on Health in Latin America	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/Spain/CT-HUVH-EX08306/2021	EPI_ISL_2828223		Hospital Universitari Arnau de Vilanova	Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca	Cristina Andrés et al
hCoV-19/Moldova/un-ChVir25732/2021	EPI_ISL_2894996		National Agency for Public Health, Republic of Moldova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/France/GP-HMN-21072050400/2021	EPI_ISL_2983904		Biopole Antilles	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/SintMaarten/SX-RIVM-29902/2021	EPI_ISL_2093182		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/SintMaarten/SX-RIVM-41586/2021	EPI_ISL_2787560		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/SouthAfrica/NICD-N8377/2021	EPI_ISL_2695730		HELEN JOSEPH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/SouthAfrica/Tygerberg_1138/2021	EPI_ISL_2695874		Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht et al
hCoV-19/Moldova/un-ChVir25728/2021	EPI_ISL_2894995		National Agency for Public Health, Republic of Moldova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/NewZealand/21CH0030/2021	EPI_ISL_2406488		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/Japan/PG-59319/2021	EPI_ISL_3198357		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Vietnam/VN5904/2021	EPI_ISL_2455506		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Japan/PG-55535/2021	EPI_ISL_2770201		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Gabon/AP360/2020	EPI_ISL_1760554		Laboratoire Professeur Daniel GAHOUMA (LPDG)	Centre de recherches médicales de Lambaréné (CERMEL)	Haruka Abe et al
hCoV-19/USA/IA-CDC-ASC210033670/2021	EPI_ISL_2089868	MZ195602.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/AR-UNM-ADH2113300000103/2021	EPI_ISL_2939086		Arkansas Department of Health	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
hCoV-19/USA/OR-OSPHL00486/2021	EPI_ISL_2086689		Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	Rafia Razzaque et al
hCoV-19/USA/ME-HETL-J2768/2021	EPI_ISL_1972978		Maine Health and Environmental Testing Laboratory	Tewhey Lab, The Jackson Laboratory	Matluk et al
hCoV-19/USA/WA-CDC-UW21042633992/2021	EPI_ISL_2020970	MZ191355.1	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/USA/CT-Yale-4609/2021	EPI_ISL_2159050		Yale Clinical Virology Lab	Yale Center for Genomic Analysis	Shrikant Mane et al
hCoV-19/USA/CT-CDC-QDX24632636/2021	EPI_ISL_2268914	MZ288385.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Mexico/DUR_LANGEBIO_IMSS_0551/2021	EPI_ISL_2401974		Centro de Investigación Biomédica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/WY-WYPHL-21031191/2021	EPI_ISL_2444739		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	Jim Mildenberger et al
hCoV-19/USA/AL-Mobile-SL-21051060004/2021	EPI_ISL_2958894		Mobile County Health Department	Synergy Laboratories	Megan Cornwell et al
hCoV-19/Venezuela/Por7193/2021	EPI_ISL_3507373		Instituto Venezolano de Investigaciones Científicas	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Grenada/75608/2021	EPI_ISL_2967993		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/USA/WV-CDC-IBX031630518636/2021	EPI_ISL_2876080	MZ533622.1	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/TN-CDC-IBX217870552012/2021	EPI_ISL_2375787	MZ325186.1	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MO-MSPHL-001066/2021	EPI_ISL_2035610		Missouri State Public Health Laboratory	Missouri State Public Health Laboratory	Matthew Sinn et al
hCoV-19/USA/IN-INSPHL-00922/2021	EPI_ISL_1841030		IN State Department of Health Laboratory Services	IN State Department of Health Laboratory Services	Cassandra Campion et al
hCoV-19/USA/CO-CDPHE-2100932812/2021	EPI_ISL_2309170		Colorado Department of Public Health and Environment	Colorado Department of Public Health and Environment	Laura Bankers et al
hCoV-19/CostaRica/INC-0680/2021	EPI_ISL_2658277		HOSPITAL SAN VICENTE DE PAUL	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0799/2021	EPI_ISL_3037832		HOSPITAL GUAPILES [POCOCI/LIMON]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/USA/LA-CDC-ASC210033653/2021	EPI_ISL_2089858	MZ195592.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/LA-CDC-QDX24799417/2021	EPI_ISL_2304555	MZ304761.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/TX-CDC-FG-029493/2021	EPI_ISL_1992769	MZ155405.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/NV-CDC-LC0059529/2021	EPI_ISL_2305004	MZ306431.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Canada/AB-ABPHL-24049/2021	EPI_ISL_3116739		Edmonton Provincial Lab	Public Health Agency of Canada (PHAC) National Microbiology Laboratory	Buss et al
hCoV-19/Aruba/AW-RIVM-41537/2021	EPI_ISL_2787812		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/VI-Yale-7877-/2021	EPI_ISL_3670232		VIDOH (Virgin Islands Department of Health)	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
hCoV-19/USA/WY-WYPHL-21038252/2021	EPI_ISL_2834558		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	Jim Mildenberger et al
hCoV-19/Sweden/SE1410694530/2021	EPI_ISL_2412932		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Poland/WGS-CoV_PZH-LUM-0675/2021	EPI_ISL_2131193		WSSE w Gdańsku	1. National Institute of Public Health - National Institute of Hygiene, Warsaw, Poland 2. Biobank Lab, University of Lodz 3. Laboratory of Respiratory Viruses, Teaching and Clinical Center of the Medical University of Lodz	Dominik Strapagiel et al
hCoV-19/Poland/PZH-GUM-0829/2021	EPI_ISL_2178912		WSSE Laboratorium Mikrobiologii i Parazytologii	1. Tricity SARS-CoV-2 sequencing consortium: University of Gdansk, Medical University of Gdansk, Vaxican Ltd., Invicta Ltd. 2. National Institute of Public Health - National Institute of Hygiene, Warsaw, Poland	Maciej Kosinski et al
hCoV-19/USA/NM-CDC-LC0053246/2021	EPI_ISL_1931943	MZ143602.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Austria/CeMM10915/2021	EPI_ISL_2485004		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Australia/QLD1855/2021	EPI_ISL_1754865		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Australia/NSW1563/2021	EPI_ISL_1904461		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Canada/SK-NML-109555/2021	EPI_ISL_3255762		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Poland/PZH-GUM-1039/2021	EPI_ISL_2140525		Invicta	1. Tricity SARS-CoV-2 sequencing consortium: University of Gdansk, Medical University of Gdansk, Vaxican Ltd., Invicta Ltd. 2. National Institute of Public Health - National Institute of Hygiene, Warsaw, Poland	Maciej Kosinski et al
hCoV-19/Norway/10857/2021	EPI_ISL_2225835		Haukeland University Hospital, Dept. of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Colombia/CAL-INS-VG-2795/2021	EPI_ISL_2674296		LDSP CALDAS	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/Denmark/DCGC-93229/2021	EPI_ISL_2173073		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Aalborg University	Danish Covid-19 Genome Consortium et al
hCoV-19/USA/VI-CDC-ASC210106235/2021	EPI_ISL_2489093	MZ375897.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Morocco/RA212/2021	EPI_ISL_3259350		Laboratoire de Recherche et d'Analyses Médicales de la Gendarmerie Royale	Laboratoire de Recherche et d'Analyses Médicales de la Gendarmerie Royale	Sanaâ LEMRISS et al
hCoV-19/USA/LA-CDC-MMB09073219/2021	EPI_ISL_2875294	MZ532717.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MS-UMMC-S419D1-504942/2021	EPI_ISL_2497888		University of Mississippi Medical Center, Department of Pathology	University of Mississippi Medical Center, Molecular and Genomics Core Facility	Ashley C. Johnson et al
hCoV-19/USA/TN-CDC-FG-028461/2021	EPI_ISL_1992089	MZ154727.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MO-CDC-QDX26598413/2021	EPI_ISL_3213144	MZ690258.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/MI-CDC-QDX26765511/2021	EPI_ISL_3214088	MZ694598.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/OH-GD-051821-21050406209/2021	EPI_ISL_2602204		Gravity Diagnostics, LLC	Gravity Diagnostics, LLC	Gravity Diagnostics et al
hCoV-19/USA/SD-SDPHL-0334/2021	EPI_ISL_2102015	MZ202230.1	South Dakota Public Health Laboratory	South Dakota Public Health Laboratory	Jacob Garfin et al
hCoV-19/USA/SD-SDPHL-0415/2021	EPI_ISL_3047976		South Dakota Public Health Laboratory	South Dakota Public Health Laboratory	Chris Carlson et al
hCoV-19/Netherlands/GE-RIVM-36460/2021	EPI_ISL_2475284		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/NewZealand/21MV0418/2021	EPI_ISL_2406493		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/USA/MD-CDC-ASC210061549/2021	EPI_ISL_2180692	MZ244506.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/DC-CDC-LC0064075/2021	EPI_ISL_2398777	MZ341956.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Venezuela/Mir3677/2021	EPI_ISL_3281603		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/SriLanka/CMC101955/2021	EPI_ISL_2481333		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/Ghana/WACCBIP-GS128/2021	EPI_ISL_944697	MW571159.1	Department of Biochemistry, Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana	Department of Biochemistry, Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana	Morang'a et al
hCoV-19/USA/IN-ISDH552/2021	EPI_ISL_2726939		ISDH	Quantigen Biosciences	Paul J. Childress et al
hCoV-19/USA/GA-CDC-LC0021059/2021	EPI_ISL_1298406	MW783625.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Peter W. Cook et al
hCoV-19/Switzerland/NE-PMI-2117-4124/2021	EPI_ISL_2226751		ADMED Microbiologie	Genomics and Transcriptomics, Philip Morris International	Reto Lienhard et al
hCoV-19/Canada/SK-NML-60062/2021	EPI_ISL_2585520		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Canada/SK-NML-17809/2021	EPI_ISL_2883549		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/USA/VT-CDCBI-CRSP_GXOTVH7HYKSPLJXG/2021	EPI_ISL_1968539	MZ145996.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
hCoV-19/USA/AL-UAB-GX320/2021	EPI_ISL_2993785	MZ512395.1	Pathology, UAB	Pathology, UAB	Moates et al
hCoV-19/USA/MN-CDC-IBX359268454119/2021	EPI_ISL_2282458	MZ295547.1	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Singapore/1807/2021	EPI_ISL_3007589		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Curacao/CW-RIVM-31703/2021	EPI_ISL_2218103		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-27386/2021	EPI_ISL_1792360		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-30413/2021	EPI_ISL_2093655		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-33246/2021	EPI_ISL_2302965		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-35070/2021	EPI_ISL_2405526		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-41673/2021	EPI_ISL_2862629		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-31647/2021	EPI_ISL_2218065		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-31681/2021	EPI_ISL_2218086		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-31624/2021	EPI_ISL_2218060		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-35037/2021	EPI_ISL_2405493		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-30404/2021	EPI_ISL_2093654		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/ND-NDDH-01426/2021	EPI_ISL_2335063		North Dakota Department of Health, Public Health Laboratory	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al
hCoV-19/USA/CO-CDC-MMB09077259/2021	EPI_ISL_2875354	MZ532777.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Coted-Ivoire/COV-BKE3664-bc83/2021	EPI_ISL_3536597		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Coted-Ivoire/COV-BKE3667-bc84/2021	EPI_ISL_3536598		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Guadeloupe/IPP14836/2021	EPI_ISL_2835906		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP12862/2021	EPI_ISL_2462932		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP12789/2021	EPI_ISL_2462927		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP10076/2021	EPI_ISL_1821587		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/France/GP-HMN-21052200199/2021	EPI_ISL_2464488		Biopole Antilles	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/Coted-Ivoire/COV-BKE3387-bc64/2021	EPI_ISL_3536585		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/USA/PR-CDC-S458/2021	EPI_ISL_2688266		Centers for Disease Control and Prevention, Dengue Branch	Centers for Disease Control and Prevention, Dengue Branch	Gilberto A. Santiago et al
hCoV-19/Belgium/UZA-UA-THX567/2021	EPI_ISL_2016820		LHUB-ULB	Labo Klinische Biologie, UZA	Marie Le Mercier et al
hCoV-19/Guadeloupe/IPP18933/2021	EPI_ISL_3392629		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP18575/2021	EPI_ISL_3355752		Outre mer	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/USA/OR-OSPHL01007/2021	EPI_ISL_2693017		Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	Rafia Razzaque et al
hCoV-19/CostaRica/INC-0633/2021	EPI_ISL_2502731		CLINICA BIBLICA	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/Morocco/ION-CODE-101/2021	EPI_ISL_3071138		ANOUAL	ANOUAL	Fatima zahra El ansari et al
hCoV-19/Montenegro/CO-00357_MNE000_2264782102/2021	EPI_ISL_3550715		Laboratory for Molecular Diagnostics, IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Egypt/ARMY-404/2021	EPI_ISL_1969081		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/USA/IN-CDC-STM-000066585/2021	EPI_ISL_2159522	MZ236908.1	Helix/Illumina	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Egypt/ARMY-402/2021	EPI_ISL_1969080		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/Aruba/AW-RIVM-25520/2021	EPI_ISL_1704993		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-38113/2021	EPI_ISL_2475611		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-20142/2021	EPI_ISL_1456502		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-30271/2021	EPI_ISL_2093620		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-40539/2021	EPI_ISL_2673264		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-31168/2021	EPI_ISL_2093758		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-31216/2021	EPI_ISL_2093767		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-35940/2021	EPI_ISL_2406398		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Liechtenstein/UHB-4209185301/2021	EPI_ISL_2768036	OU351901.1	Labormedizinisches Zentrum Dr Risch	Clinical Bacteriology	Tim Roloff et al
hCoV-19/Portugal/PT8170/2021	EPI_ISL_2445744		Cintramedica	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/DRC/RDC-226/2021	EPI_ISL_2968551		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Ireland/DL-NVRL-30IRL53642/2021	EPI_ISL_2491048		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Germany/NI-RKI-I-150491/2021	EPI_ISL_2262118		Institut für med. Mikrobiologie u. Virologie Klinikum Oldenburg	Robert Koch Institute	?
